"label","n","parent","id"
"Bulgaria",10," Game Show"," Game Show  -  Bulgaria"
"Bulgaria",2," History"," History  -  Bulgaria"
"Bulgaria",29," Horror"," Horror  -  Bulgaria"
"Bulgaria",2," Music"," Music  -  Bulgaria"
"Bulgaria",46," Mystery"," Mystery  -  Bulgaria"
"Bulgaria",14," Reality TV"," Reality TV  -  Bulgaria"
"Bulgaria",90," Romance"," Romance  -  Bulgaria"
"Bulgaria",37," Sci Fi"," Sci Fi  -  Bulgaria"
"Bulgaria",4," Short"," Short  -  Bulgaria"
"Bulgaria",16," Sport"," Sport  -  Bulgaria"
"Bulgaria",11," Talk Show"," Talk Show  -  Bulgaria"
"Bulgaria",56," Thriller"," Thriller  -  Bulgaria"
"Bulgaria",3," War"," War  -  Bulgaria"
"Bulgaria",5," Western"," Western  -  Bulgaria"
"Canada",171," Action"," Action  -  Canada"
"Canada",2," Adult"," Adult  -  Canada"
"Canada",101," Adventure"," Adventure  -  Canada"
"Canada",53," Animation"," Animation  -  Canada"
"Canada",13," Biography"," Biography  -  Canada"
"Canada",180," Comedy"," Comedy  -  Canada"
"Canada",142," Crime"," Crime  -  Canada"
"Canada",38," Documentary"," Documentary  -  Canada"
"Canada",274," Drama"," Drama  -  Canada"
"Canada",17," Family"," Family  -  Canada"
"Canada",35," Fantasy"," Fantasy  -  Canada"
"Canada",6," Film Noir"," Film Noir  -  Canada"
"Canada",11," Game Show"," Game Show  -  Canada"
"Canada",3," History"," History  -  Canada"
"Canada",36," Horror"," Horror  -  Canada"
"Canada",2," Music"," Music  -  Canada"
"Canada",59," Mystery"," Mystery  -  Canada"
"Canada",28," Reality TV"," Reality TV  -  Canada"
"Canada",69," Romance"," Romance  -  Canada"
"Canada",31," Sci Fi"," Sci Fi  -  Canada"
"Canada",4," Short"," Short  -  Canada"
"Canada",15," Sport"," Sport  -  Canada"
"Canada",9," Talk Show"," Talk Show  -  Canada"
"Canada",69," Thriller"," Thriller  -  Canada"
"Canada",6," War"," War  -  Canada"
"Canada",2," Western"," Western  -  Canada"
"Chile",132," Action"," Action  -  Chile"
"Chile",1," Adult"," Adult  -  Chile"
"Chile",121," Adventure"," Adventure  -  Chile"
"Chile",74," Animation"," Animation  -  Chile"
"Chile",3," Biography"," Biography  -  Chile"
"Chile",203," Comedy"," Comedy  -  Chile"
"Chile",94," Crime"," Crime  -  Chile"
"Chile",13," Documentary"," Documentary  -  Chile"
"Chile",327," Drama"," Drama  -  Chile"
"Chile",16," Family"," Family  -  Chile"
"Chile",27," Fantasy"," Fantasy  -  Chile"
"Chile",5," Film Noir"," Film Noir  -  Chile"
"Chile",3," History"," History  -  Chile"
"Chile",30," Horror"," Horror  -  Chile"
"Chile",37," Music"," Music  -  Chile"
"Chile",42," Mystery"," Mystery  -  Chile"
"Chile",2," Reality TV"," Reality TV  -  Chile"
"Chile",115," Romance"," Romance  -  Chile"
"Chile",18," Sci Fi"," Sci Fi  -  Chile"
"Chile",2," Short"," Short  -  Chile"
"Chile",11," Sport"," Sport  -  Chile"
"Chile",9," Talk Show"," Talk Show  -  Chile"
"Chile",57," Thriller"," Thriller  -  Chile"
"Chile",3," War"," War  -  Chile"
"Chile",2," Western"," Western  -  Chile"
"Colombia",145," Action"," Action  -  Colombia"
"Colombia",2," Adult"," Adult  -  Colombia"
"Colombia",106," Adventure"," Adventure  -  Colombia"
"Colombia",61," Animation"," Animation  -  Colombia"
"Colombia",3," Biography"," Biography  -  Colombia"
"Colombia",196," Comedy"," Comedy  -  Colombia"
"Colombia",108," Crime"," Crime  -  Colombia"
"Colombia",33," Documentary"," Documentary  -  Colombia"
"Colombia",285," Drama"," Drama  -  Colombia"
"Colombia",13," Family"," Family  -  Colombia"
"Colombia",31," Fantasy"," Fantasy  -  Colombia"
"Colombia",4," Film Noir"," Film Noir  -  Colombia"
"Colombia",33," Horror"," Horror  -  Colombia"
"Colombia",20," Music"," Music  -  Colombia"
"Colombia",4," Musical"," Musical  -  Colombia"
"Colombia",46," Mystery"," Mystery  -  Colombia"
"Colombia",3," Reality TV"," Reality TV  -  Colombia"
"Colombia",102," Romance"," Romance  -  Colombia"
"Colombia",16," Sci Fi"," Sci Fi  -  Colombia"
"Colombia",2," Short"," Short  -  Colombia"
"Colombia",10," Sport"," Sport  -  Colombia"
"Colombia",7," Talk Show"," Talk Show  -  Colombia"
"Colombia",73," Thriller"," Thriller  -  Colombia"
"Colombia",2," War"," War  -  Colombia"
"Colombia",1," Western"," Western  -  Colombia"
"Costa Rica",122," Action"," Action  -  Costa Rica"
"Costa Rica",2," Adult"," Adult  -  Costa Rica"
"Costa Rica",98," Adventure"," Adventure  -  Costa Rica"
"Costa Rica",61," Animation"," Animation  -  Costa Rica"
"Costa Rica",4," Biography"," Biography  -  Costa Rica"
"Costa Rica",207," Comedy"," Comedy  -  Costa Rica"
"Costa Rica",92," Crime"," Crime  -  Costa Rica"
"Costa Rica",16," Documentary"," Documentary  -  Costa Rica"
"Costa Rica",319," Drama"," Drama  -  Costa Rica"
"Costa Rica",19," Family"," Family  -  Costa Rica"
"Costa Rica",28," Fantasy"," Fantasy  -  Costa Rica"
"Costa Rica",5," Film Noir"," Film Noir  -  Costa Rica"
"Costa Rica",1," Game Show"," Game Show  -  Costa Rica"
"Costa Rica",32," Horror"," Horror  -  Costa Rica"
"Costa Rica",34," Music"," Music  -  Costa Rica"
"Costa Rica",42," Mystery"," Mystery  -  Costa Rica"
"Costa Rica",4," Reality TV"," Reality TV  -  Costa Rica"
"Costa Rica",124," Romance"," Romance  -  Costa Rica"
"Costa Rica",16," Sci Fi"," Sci Fi  -  Costa Rica"
"Costa Rica",2," Short"," Short  -  Costa Rica"
"Costa Rica",13," Sport"," Sport  -  Costa Rica"
"Costa Rica",7," Talk Show"," Talk Show  -  Costa Rica"
"Costa Rica",66," Thriller"," Thriller  -  Costa Rica"
"Costa Rica",2," War"," War  -  Costa Rica"
"Costa Rica",1," Western"," Western  -  Costa Rica"
"Croatia",167," Action"," Action  -  Croatia"
"Croatia",5," Adult"," Adult  -  Croatia"
"Croatia",114," Adventure"," Adventure  -  Croatia"
"Croatia",53," Animation"," Animation  -  Croatia"
"Croatia",8," Biography"," Biography  -  Croatia"
"Croatia",211," Comedy"," Comedy  -  Croatia"
"Croatia",116," Crime"," Crime  -  Croatia"
"Croatia",33," Documentary"," Documentary  -  Croatia"
"Croatia",282," Drama"," Drama  -  Croatia"
"Croatia",21," Family"," Family  -  Croatia"
"Croatia",26," Fantasy"," Fantasy  -  Croatia"
"Croatia",8," Film Noir"," Film Noir  -  Croatia"
"Croatia",10," Game Show"," Game Show  -  Croatia"
"Croatia",5," History"," History  -  Croatia"
"Croatia",27," Horror"," Horror  -  Croatia"
"Croatia",3," Music"," Music  -  Croatia"
"Croatia",48," Mystery"," Mystery  -  Croatia"
