"country_name","genres","n"
"Greece","Drama",313
"Greece","Family",19
"Greece","Fantasy",44
"Greece","Film-Noir",6
"Greece","Game-Show",6
"Greece","History",4
"Greece","Horror",30
"Greece","Music",2
"Greece","Mystery",56
"Greece","Reality-TV",7
"Greece","Romance",82
"Greece","Sci-Fi",42
"Greece","Short",3
"Greece","Sport",16
"Greece","Talk-Show",9
"Greece","Thriller",50
"Greece","War",5
"Greece","Western",7
"Guadeloupe","Action",218
"Guadeloupe","Adult",3
"Guadeloupe","Adventure",122
"Guadeloupe","Animation",49
"Guadeloupe","Biography",2
"Guadeloupe","Comedy",157
"Guadeloupe","Crime",153
"Guadeloupe","Documentary",13
"Guadeloupe","Drama",312
"Guadeloupe","Family",15
"Guadeloupe","Fantasy",51
"Guadeloupe","Film-Noir",4
"Guadeloupe","Game-Show",5
"Guadeloupe","Horror",35
"Guadeloupe","Music",31
"Guadeloupe","Mystery",45
"Guadeloupe","Reality-TV",9
"Guadeloupe","Romance",71
"Guadeloupe","Sci-Fi",43
"Guadeloupe","Short",3
"Guadeloupe","Sport",11
"Guadeloupe","Talk-Show",5
"Guadeloupe","Thriller",71
"Guadeloupe","War",1
"Guadeloupe","Western",1
"Guatemala","Action",121
"Guatemala","Adult",1
"Guatemala","Adventure",103
"Guatemala","Animation",64
"Guatemala","Biography",2
"Guatemala","Comedy",208
"Guatemala","Crime",91
"Guatemala","Documentary",9
"Guatemala","Drama",299
"Guatemala","Family",16
"Guatemala","Fantasy",29
"Guatemala","Film-Noir",4
"Guatemala","Horror",29
"Guatemala","Music",35
"Guatemala","Mystery",42
"Guatemala","Reality-TV",2
"Guatemala","Romance",112
"Guatemala","Sci-Fi",17
"Guatemala","Short",1
"Guatemala","Sport",11
"Guatemala","Talk-Show",6
"Guatemala","Thriller",58
"Guatemala","War",2
"Guatemala","Western",1
"Honduras","Action",135
"Honduras","Adult",2
"Honduras","Adventure",89
"Honduras","Animation",46
"Honduras","Biography",1
"Honduras","Comedy",197
"Honduras","Crime",102
"Honduras","Documentary",11
"Honduras","Drama",308
"Honduras","Family",16
"Honduras","Fantasy",31
"Honduras","Film-Noir",4
"Honduras","History",1
"Honduras","Horror",30
"Honduras","Music",34
"Honduras","Mystery",43
"Honduras","Reality-TV",3
"Honduras","Romance",120
"Honduras","Sci-Fi",18
