"id","n","label","parent"
"total  -   Thriller  -  Cyprus",52,"Cyprus","total  -   Thriller"
"total  -   Action  -  Czech Republic",196,"Czech Republic","total  -   Action"
"total  -   Adventure  -  Czech Republic",152,"Czech Republic","total  -   Adventure"
"total  -   Animation  -  Czech Republic",82,"Czech Republic","total  -   Animation"
"total  -   Comedy  -  Czech Republic",193,"Czech Republic","total  -   Comedy"
"total  -   Crime  -  Czech Republic",122,"Czech Republic","total  -   Crime"
"total  -   Drama  -  Czech Republic",285,"Czech Republic","total  -   Drama"
"total  -   Fantasy  -  Czech Republic",48,"Czech Republic","total  -   Fantasy"
"total  -   Mystery  -  Czech Republic",53,"Czech Republic","total  -   Mystery"
"total  -   Romance  -  Czech Republic",58,"Czech Republic","total  -   Romance"
"total  -   Thriller  -  Czech Republic",46,"Czech Republic","total  -   Thriller"
"total  -   Action  -  Denmark",182,"Denmark","total  -   Action"
"total  -   Adventure  -  Denmark",122,"Denmark","total  -   Adventure"
"total  -   Animation  -  Denmark",58,"Denmark","total  -   Animation"
"total  -   Comedy  -  Denmark",189,"Denmark","total  -   Comedy"
"total  -   Crime  -  Denmark",149,"Denmark","total  -   Crime"
"total  -   Drama  -  Denmark",303,"Denmark","total  -   Drama"
"total  -   Fantasy  -  Denmark",40,"Denmark","total  -   Fantasy"
"total  -   Mystery  -  Denmark",55,"Denmark","total  -   Mystery"
"total  -   Romance  -  Denmark",77,"Denmark","total  -   Romance"
"total  -   Thriller  -  Denmark",59,"Denmark","total  -   Thriller"
"total  -   Action  -  Dominican Republic",180,"Dominican Republic","total  -   Action"
"total  -   Adventure  -  Dominican Republic",104,"Dominican Republic","total  -   Adventure"
"total  -   Animation  -  Dominican Republic",51,"Dominican Republic","total  -   Animation"
"total  -   Comedy  -  Dominican Republic",158,"Dominican Republic","total  -   Comedy"
"total  -   Crime  -  Dominican Republic",117,"Dominican Republic","total  -   Crime"
"total  -   Drama  -  Dominican Republic",283,"Dominican Republic","total  -   Drama"
"total  -   Fantasy  -  Dominican Republic",38,"Dominican Republic","total  -   Fantasy"
"total  -   Mystery  -  Dominican Republic",41,"Dominican Republic","total  -   Mystery"
"total  -   Romance  -  Dominican Republic",77,"Dominican Republic","total  -   Romance"
"total  -   Thriller  -  Dominican Republic",68,"Dominican Republic","total  -   Thriller"
"total  -   Action  -  Ecuador",146,"Ecuador","total  -   Action"
"total  -   Adventure  -  Ecuador",119,"Ecuador","total  -   Adventure"
"total  -   Animation  -  Ecuador",70,"Ecuador","total  -   Animation"
"total  -   Comedy  -  Ecuador",209,"Ecuador","total  -   Comedy"
"total  -   Crime  -  Ecuador",84,"Ecuador","total  -   Crime"
"total  -   Drama  -  Ecuador",271,"Ecuador","total  -   Drama"
"total  -   Music  -  Ecuador",34,"Ecuador","total  -   Music"
"total  -   Mystery  -  Ecuador",38,"Ecuador","total  -   Mystery"
"total  -   Romance  -  Ecuador",100,"Ecuador","total  -   Romance"
"total  -   Thriller  -  Ecuador",64,"Ecuador","total  -   Thriller"
"total  -   Action  -  Egypt",194,"Egypt","total  -   Action"
"total  -   Adventure  -  Egypt",108,"Egypt","total  -   Adventure"
"total  -   Animation  -  Egypt",37,"Egypt","total  -   Animation"
"total  -   Comedy  -  Egypt",181,"Egypt","total  -   Comedy"
"total  -   Crime  -  Egypt",113,"Egypt","total  -   Crime"
"total  -   Drama  -  Egypt",308,"Egypt","total  -   Drama"
"total  -   Fantasy  -  Egypt",36,"Egypt","total  -   Fantasy"
"total  -   Mystery  -  Egypt",48,"Egypt","total  -   Mystery"
"total  -   Romance  -  Egypt",86,"Egypt","total  -   Romance"
"total  -   Thriller  -  Egypt",69,"Egypt","total  -   Thriller"
"total  -   Action  -  El Salvador",138,"El Salvador","total  -   Action"
"total  -   Adventure  -  El Salvador",104,"El Salvador","total  -   Adventure"
"total  -   Animation  -  El Salvador",64,"El Salvador","total  -   Animation"
"total  -   Comedy  -  El Salvador",197,"El Salvador","total  -   Comedy"
"total  -   Crime  -  El Salvador",100,"El Salvador","total  -   Crime"
"total  -   Drama  -  El Salvador",290,"El Salvador","total  -   Drama"
"total  -   Music  -  El Salvador",33,"El Salvador","total  -   Music"
"total  -   Mystery  -  El Salvador",38,"El Salvador","total  -   Mystery"
"total  -   Romance  -  El Salvador",104,"El Salvador","total  -   Romance"
